,,High,High,High,High,Medium,Medium,Medium,Medium,Low,Low,Low,Low,Details,,
No,Project,code4rena Report,Tool Detectable,ZAN,Slither,code4rena Report,Tool Detectable,ZAN,Slither,Code4Rena report,Tool Detectable,ZAN,Slither,Tool Detectable Details,ZAN Detectable Details,Slither Detectable Details
1,6,6,3,2,0,3,2,3,1,6,3,2,0,H-01 H-02 H-03 M-00 M-01 M-02 L-00 L-03 L-04,H-02 H-03 M-00 M-01 M-02 L-00 L-03 G-00 G-02 G-03,M-01
2,192,11,2,0,0,24,2,0,0,6,5,3,1,H-03 H-07 M-02 M-08 L-01 L-02 L-04 L-05 L-06,L-01 L-05 L-06 N-09 N-10 N-28 G-13 G-15 G-20,L-05 N-28 G-15
3,16,6,0,0,0,13,4,0,1,24,8,2,1,M-01 M-02 M-05 M-08 L-01 L-03 L-06 L-08 L-09 L-12 L-13 L-18,L-01 L-09 G-05 G-08,M-05 L-01
4,89,3,1,0,0,17,0,0,0,9,5,2,0,H-01 L-01 L-03 L-05 L-06 L-07 L-08,L-03 L-05,
5,8,4,1,0,0,8,4,1,0,10,7,3,0,H-01 M-02 M-03 M-05 M-08 L-02 L-03 L-04 L-05 L-06 L-08 L-09,M-05 L-03 L-08 L-09,
6,21,2,1,0,0,4,0,0,0,31,13,3,0,H-02 L-01 L-02 L-03 L-07 L-08 L-09 L-16 L-18 L-19 L-20 L-27 L-28 L-29,L-20 L-27 L-28,
7,43,2,0,0,0,3,0,0,0,4,3,1,0,L-02 L-03 L-04,L-03,
8,79,2,0,0,0,15,4,0,0,26,8,4,3,M-05 M-07 M-10 M-13 L-01 L-02 L-04 L-05 L-06 L-11 L-16 L-19,L-01 L-04 L-06 L-19,L-04 L-06 L-19
9,77,2,0,0,0,1,0,0,0,6,2,1,0,L-02 L-04,L-02,
10,47,4,0,0,0,4,1,0,0,15,10,5,3,M-02 L-01 L-03 L-04 L-06 L-08 L-10 L-11 L-12 L-13 L-15,L-04 L-07 L-08 L-10 L-15,L-08 L-10  L-15
11,5,24,5,4,0,16,3,2,0,23,6,3,3,H-01 M-09 L-02 L-13 L-14,H-14 H-16 H-21 H-22 M-03 M-04 L-05 L-19 L-15,L-05 L-19  L-15
12,61,11,2,1,1,8,0,0,0,24,5,2,1,H-10  H-11 L-02 L-05  L-12 L-14 L-23,H11 L-05 L-12,H-11 L-12
13,103,2,0,0,0,13,2,0,0,4,3,1,1,M-01 M-08 L-01 L-03  L-04,L-03,L-03
14,60,2,0,0,0,3,0,0,0,6,4,2,2,L-02 L-04 L-05 L-06,L-02 L-06,L-02 L-06
15,145,3,0,0,0,13,3,1,0,5,3,1,1,M-03 M-08  M-09 L-01  L-02 L-03,M-03 L-02,L-02
16,29,16,1,0,0,10,0,0,0,39,13,11,9,H-09 L-02  L-03 L-06 L-07 L-09 L-12 L-13  L-15 L-20 L-25 L-26 L-27 L-38,L-02 L-03 L-04 L-06 L-09 L-12 L-13 L-25 L-26 L-27 L-29,L-02 L-03 L-06 L-09 L-25 L-26 L-27 L-28 L-32
17,10,4,0,0,0,3,1,0,1,8,1,1,0,M-01 L-08,L-08,M-01
18,36,3,2,2,2,23,5,1,2,45,10,3,5,H-01 H-03 M-01 M-10 M-12 M-13 M-17 L-01 L-05 L-06 L-09 L-15 L-23 L-29 L-30 L-35 L-40,H-01 H-03 M-10 L-05 L-09 L-23,H-01 H-03 M-01 M-10 L-01 L-05 L-09 L-23 L-40
19,97,5,0,0,0,20,1,0,0,7,0,0,0,M-19,,
20,41,1,0,0,0,8,2,1,1,12,5,0,0,M-01 M-05 L-04 L-05 L-10 L-11 L-12,M-01,M-05
21,115,2,0,0,0,5,2,0,1,5,2,1,1,M-04 M-05 L-01 L-03,L-03,M-05 L-03
22,78,7,1,1,0,14,2,1,1,12,4,2,2,H-01 M-02 M-13 L-02 L-03 L-06 L-08,H-01 M-13 L-06 L-08,M-02 L-03 L-06
23,30,10,0,0,0,15,1,0,0,25,1,1,0,M-02 L-05,L-05,
24,56,2,0,0,0,1,0,0,0,12,1,0,0,L-02,,
25,66,2,1,1,0,9,1,0,1,33,10,5,6,H-01 M-05 L-02 L-04 L-07 L-12 L-15 L-16 L-20 L-23 L-29 L-33,H-01 L-02 L-07 L-15 L-16 L-23,M-05 L-04 L-07 L-15 L-16 L-23 L-29
26,69,3,1,0,0,17,6,1,1,38,7,4,2,H-02 M-01 M-08 M-10 M-14 M-15 M-17 L-01 L-03 L-06 L-13 L-25 L-31 L-36 G-01 G-04 G-07 G-10 G-12 G-16 G-20 G-31 G-32 G-37 G-38 G-43 G-44 G-46,M-15 L-03 L-13 L-31 L-36 G-04 G-07 G-12 G-20 G-31 G-32 G-37 G-38 G-43 G-44 G-46,M-17 L-25 L-31 G-10
27,75,2,1,0,0,1,0,0,0,10,4,0,0,H-02 L-02 L-06 L-08 L-09 G-04 G-05 G-06 G-07 G-08 G-09 G-10 G-12 G-13 G-16 G-24 G-25,G-06 G-07 G-08 G-10 G-12 G-24,G-04 N-07
Total,,141,22,11,3,271,46,11,10,445,143,63,41,,,
Detection Rate,,,,50.00%,13.64%,,,23.91%,21.74%,,,44.06%,28.67%,,,
